emotion,feature_layer,feature_id,component,prompt,rank,source_position,token,attention_weight
Disgust,24,10476,L15.Attn,This is repulsive what the fuck is wrong with places like this.,9,11, like,0.019001267850399017
Disgust,24,10476,L15.Attn,This is repulsive what the fuck is wrong with places like this.,10,4, what,0.015654807910323143
Disgust,24,10476,L19.H5,This is repulsive what the fuck is wrong with places like this.,1,0,<bos>,0.3454166054725647
Disgust,24,10476,L19.H5,This is repulsive what the fuck is wrong with places like this.,2,13,.,0.16672775149345398
Disgust,24,10476,L19.H5,This is repulsive what the fuck is wrong with places like this.,3,6, fuck,0.11004467308521271
Disgust,24,10476,L19.H5,This is repulsive what the fuck is wrong with places like this.,4,12, this,0.09939278662204742
Disgust,24,10476,L19.H5,This is repulsive what the fuck is wrong with places like this.,5,10, places,0.06670981645584106
Disgust,24,10476,L19.H5,This is repulsive what the fuck is wrong with places like this.,6,3, repulsive,0.06455299258232117
Disgust,24,10476,L19.H5,This is repulsive what the fuck is wrong with places like this.,7,1,This,0.030575694516301155
Disgust,24,10476,L19.H5,This is repulsive what the fuck is wrong with places like this.,8,11, like,0.02743760123848915
Disgust,24,10476,L19.H5,This is repulsive what the fuck is wrong with places like this.,9,7, is,0.0222149845212698
Disgust,24,10476,L19.H5,This is repulsive what the fuck is wrong with places like this.,10,4, what,0.020393751561641693
Disgust,24,10476,L18.Attn,This is repulsive what the fuck is wrong with places like this.,1,0,<bos>,0.595841109752655
Disgust,24,10476,L18.Attn,This is repulsive what the fuck is wrong with places like this.,2,13,.,0.1246790736913681
Disgust,24,10476,L18.Attn,This is repulsive what the fuck is wrong with places like this.,3,12, this,0.08742345869541168
Disgust,24,10476,L18.Attn,This is repulsive what the fuck is wrong with places like this.,4,10, places,0.03224748373031616
Disgust,24,10476,L18.Attn,This is repulsive what the fuck is wrong with places like this.,5,3, repulsive,0.026886720210313797
Disgust,24,10476,L18.Attn,This is repulsive what the fuck is wrong with places like this.,6,1,This,0.026576828211545944
Disgust,24,10476,L18.Attn,This is repulsive what the fuck is wrong with places like this.,7,6, fuck,0.022092022001743317
Disgust,24,10476,L18.Attn,This is repulsive what the fuck is wrong with places like this.,8,9, with,0.015697475522756577
Disgust,24,10476,L18.Attn,This is repulsive what the fuck is wrong with places like this.,9,11, like,0.01568872109055519
Disgust,24,10476,L18.Attn,This is repulsive what the fuck is wrong with places like this.,10,8, wrong,0.01556265726685524
