emotion,feature_layer,feature_id,upstream_layer,component_type,component_name,head_idx,clean_activation,ablated_activation,causal_effect,prompt
Joy,25,13068,17,Head,L17.H4,4,46.0946159362793,46.50938034057617,-0.414764404296875,Well good luck and have fun!
Joy,25,13068,17,Head,L17.H5,5,46.0946159362793,45.597232818603516,0.49738311767578125,Well good luck and have fun!
Joy,25,13068,17,Head,L17.H6,6,46.0946159362793,48.43193435668945,-2.3373184204101562,Well good luck and have fun!
Joy,25,13068,17,Head,L17.H7,7,46.0946159362793,44.443607330322266,1.6510086059570312,Well good luck and have fun!
Joy,25,13068,18,MLP,L18.MLP,-1,46.0946159362793,50.382747650146484,-4.2881317138671875,Well good luck and have fun!
Joy,25,13068,18,Attn,L18.Attn,-1,46.0946159362793,41.23944091796875,4.855175018310547,Well good luck and have fun!
Joy,25,13068,18,Head,L18.H0,0,46.0946159362793,46.04603576660156,0.048580169677734375,Well good luck and have fun!
Joy,25,13068,18,Head,L18.H1,1,46.0946159362793,42.15394973754883,3.9406661987304688,Well good luck and have fun!
Joy,25,13068,18,Head,L18.H2,2,46.0946159362793,46.10020446777344,-0.005588531494140625,Well good luck and have fun!
Joy,25,13068,18,Head,L18.H3,3,46.0946159362793,46.71171951293945,-0.6171035766601562,Well good luck and have fun!
Joy,25,13068,18,Head,L18.H4,4,46.0946159362793,46.30399703979492,-0.209381103515625,Well good luck and have fun!
Joy,25,13068,18,Head,L18.H5,5,46.0946159362793,46.32808303833008,-0.23346710205078125,Well good luck and have fun!
Joy,25,13068,18,Head,L18.H6,6,46.0946159362793,46.806400299072266,-0.7117843627929688,Well good luck and have fun!
Joy,25,13068,18,Head,L18.H7,7,46.0946159362793,47.40329360961914,-1.3086776733398438,Well good luck and have fun!
Joy,25,13068,19,MLP,L19.MLP,-1,46.0946159362793,46.66228485107422,-0.5676689147949219,Well good luck and have fun!
Joy,25,13068,19,Attn,L19.Attn,-1,46.0946159362793,46.23652267456055,-0.14190673828125,Well good luck and have fun!
Joy,25,13068,19,Head,L19.H0,0,46.0946159362793,46.129520416259766,-0.03490447998046875,Well good luck and have fun!
Joy,25,13068,19,Head,L19.H1,1,46.0946159362793,46.04774856567383,0.04686737060546875,Well good luck and have fun!
Joy,25,13068,19,Head,L19.H2,2,46.0946159362793,46.118343353271484,-0.0237274169921875,Well good luck and have fun!
Joy,25,13068,19,Head,L19.H3,3,46.0946159362793,45.67414474487305,0.42047119140625,Well good luck and have fun!
Joy,25,13068,19,Head,L19.H4,4,46.0946159362793,50.048397064208984,-3.9537811279296875,Well good luck and have fun!
Joy,25,13068,19,Head,L19.H5,5,46.0946159362793,39.80306625366211,6.2915496826171875,Well good luck and have fun!
Joy,25,13068,19,Head,L19.H6,6,46.0946159362793,46.0892219543457,0.00539398193359375,Well good luck and have fun!
Joy,25,13068,19,Head,L19.H7,7,46.0946159362793,46.17219161987305,-0.07757568359375,Well good luck and have fun!
Joy,25,13068,20,MLP,L20.MLP,-1,46.0946159362793,50.75474548339844,-4.660129547119141,Well good luck and have fun!
Joy,25,13068,20,Attn,L20.Attn,-1,46.0946159362793,44.38063430786133,1.7139816284179688,Well good luck and have fun!
Joy,25,13068,20,Head,L20.H0,0,46.0946159362793,45.924007415771484,0.1706085205078125,Well good luck and have fun!
Joy,25,13068,20,Head,L20.H1,1,46.0946159362793,45.89262771606445,0.20198822021484375,Well good luck and have fun!
Joy,25,13068,20,Head,L20.H2,2,46.0946159362793,47.12338638305664,-1.0287704467773438,Well good luck and have fun!
Joy,25,13068,20,Head,L20.H3,3,46.0946159362793,45.65974044799805,0.43487548828125,Well good luck and have fun!
Joy,25,13068,20,Head,L20.H4,4,46.0946159362793,45.73219299316406,0.3624229431152344,Well good luck and have fun!
Joy,25,13068,20,Head,L20.H5,5,46.0946159362793,45.88484573364258,0.20977020263671875,Well good luck and have fun!
Joy,25,13068,20,Head,L20.H6,6,46.0946159362793,45.83279800415039,0.26181793212890625,Well good luck and have fun!
Joy,25,13068,20,Head,L20.H7,7,46.0946159362793,46.4782829284668,-0.3836669921875,Well good luck and have fun!
Joy,25,13068,21,MLP,L21.MLP,-1,46.0946159362793,25.1126708984375,20.981945037841797,Well good luck and have fun!
Joy,25,13068,21,Attn,L21.Attn,-1,46.0946159362793,43.40158462524414,2.6930313110351562,Well good luck and have fun!
Joy,25,13068,21,Head,L21.H0,0,46.0946159362793,47.06808090209961,-0.9734649658203125,Well good luck and have fun!
Joy,25,13068,21,Head,L21.H1,1,46.0946159362793,46.544002532958984,-0.4493865966796875,Well good luck and have fun!
Joy,25,13068,21,Head,L21.H2,2,46.0946159362793,48.550960540771484,-2.4563446044921875,Well good luck and have fun!
Joy,25,13068,21,Head,L21.H3,3,46.0946159362793,46.19227600097656,-0.09766006469726562,Well good luck and have fun!
Joy,25,13068,21,Head,L21.H4,4,46.0946159362793,46.517757415771484,-0.4231414794921875,Well good luck and have fun!
Joy,25,13068,21,Head,L21.H5,5,46.0946159362793,46.5780143737793,-0.4833984375,Well good luck and have fun!
Joy,25,13068,21,Head,L21.H6,6,46.0946159362793,39.81789779663086,6.2767181396484375,Well good luck and have fun!
Joy,25,13068,21,Head,L21.H7,7,46.0946159362793,47.999027252197266,-1.9044113159179688,Well good luck and have fun!
Joy,25,13068,22,MLP,L22.MLP,-1,46.0946159362793,46.274505615234375,-0.17988967895507812,Well good luck and have fun!
Joy,25,13068,22,Attn,L22.Attn,-1,46.0946159362793,46.99235153198242,-0.897735595703125,Well good luck and have fun!
Joy,25,13068,22,Head,L22.H0,0,46.0946159362793,46.57408905029297,-0.4794731140136719,Well good luck and have fun!
Joy,25,13068,22,Head,L22.H1,1,46.0946159362793,45.77040481567383,0.32421112060546875,Well good luck and have fun!
Joy,25,13068,22,Head,L22.H2,2,46.0946159362793,46.16068649291992,-0.066070556640625,Well good luck and have fun!
Joy,25,13068,22,Head,L22.H3,3,46.0946159362793,45.93943405151367,0.155181884765625,Well good luck and have fun!
Joy,25,13068,22,Head,L22.H4,4,46.0946159362793,45.81672286987305,0.27789306640625,Well good luck and have fun!
Joy,25,13068,22,Head,L22.H5,5,46.0946159362793,46.103458404541016,-0.00884246826171875,Well good luck and have fun!
Joy,25,13068,22,Head,L22.H6,6,46.0946159362793,46.58394241333008,-0.48932647705078125,Well good luck and have fun!
Joy,25,13068,22,Head,L22.H7,7,46.0946159362793,46.05988311767578,0.034732818603515625,Well good luck and have fun!
Joy,25,13068,23,MLP,L23.MLP,-1,46.0946159362793,42.617401123046875,3.477214813232422,Well good luck and have fun!
Joy,25,13068,23,Attn,L23.Attn,-1,46.0946159362793,43.73439407348633,2.3602218627929688,Well good luck and have fun!
Joy,25,13068,23,Head,L23.H0,0,46.0946159362793,42.01115036010742,4.083465576171875,Well good luck and have fun!
Joy,25,13068,23,Head,L23.H1,1,46.0946159362793,50.22042465209961,-4.1258087158203125,Well good luck and have fun!
Joy,25,13068,23,Head,L23.H2,2,46.0946159362793,46.11921310424805,-0.02459716796875,Well good luck and have fun!
Joy,25,13068,23,Head,L23.H3,3,46.0946159362793,46.153133392333984,-0.0585174560546875,Well good luck and have fun!
Joy,25,13068,23,Head,L23.H4,4,46.0946159362793,45.90542984008789,0.18918609619140625,Well good luck and have fun!
Joy,25,13068,23,Head,L23.H5,5,46.0946159362793,45.84709548950195,0.24752044677734375,Well good luck and have fun!
Joy,25,13068,23,Head,L23.H6,6,46.0946159362793,46.23648452758789,-0.14186859130859375,Well good luck and have fun!
Joy,25,13068,23,Head,L23.H7,7,46.0946159362793,46.19050216674805,-0.09588623046875,Well good luck and have fun!
Joy,25,13068,24,MLP,L24.MLP,-1,46.0946159362793,44.0201530456543,2.074462890625,Well good luck and have fun!
Joy,25,13068,24,Attn,L24.Attn,-1,46.0946159362793,37.84800338745117,8.246612548828125,Well good luck and have fun!
Joy,25,13068,24,Head,L24.H0,0,46.0946159362793,46.447933197021484,-0.3533172607421875,Well good luck and have fun!
Joy,25,13068,24,Head,L24.H1,1,46.0946159362793,43.582515716552734,2.5121002197265625,Well good luck and have fun!
Joy,25,13068,24,Head,L24.H2,2,46.0946159362793,46.7244758605957,-0.6298599243164062,Well good luck and have fun!
Joy,25,13068,24,Head,L24.H3,3,46.0946159362793,45.92255401611328,0.17206192016601562,Well good luck and have fun!
Joy,25,13068,24,Head,L24.H4,4,46.0946159362793,46.851985931396484,-0.7573699951171875,Well good luck and have fun!
Joy,25,13068,24,Head,L24.H5,5,46.0946159362793,46.72842025756836,-0.6338043212890625,Well good luck and have fun!
Joy,25,13068,24,Head,L24.H6,6,46.0946159362793,43.61577224731445,2.4788436889648438,Well good luck and have fun!
Joy,25,13068,24,Head,L24.H7,7,46.0946159362793,47.25528335571289,-1.1606674194335938,Well good luck and have fun!
Joy,25,13068,15,MLP,L15.MLP,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,15,Attn,L15.Attn,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,16,MLP,L16.MLP,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,16,Attn,L16.Attn,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,17,MLP,L17.MLP,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,17,Attn,L17.Attn,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,18,MLP,L18.MLP,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,18,Attn,L18.Attn,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,19,MLP,L19.MLP,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,19,Attn,L19.Attn,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,20,MLP,L20.MLP,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,20,Attn,L20.Attn,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,21,MLP,L21.MLP,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,21,Attn,L21.Attn,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,22,MLP,L22.MLP,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,22,Attn,L22.Attn,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,23,MLP,L23.MLP,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,23,Attn,L23.Attn,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,24,MLP,L24.MLP,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,24,Attn,L24.Attn,-1,0.0,0.0,0.0,Glad to see we are still around :).
Joy,25,13068,15,MLP,L15.MLP,-1,26.279399871826172,28.501140594482422,-2.22174072265625,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,15,Attn,L15.Attn,-1,26.279399871826172,19.50939178466797,6.770008087158203,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,15,Head,L15.H0,0,26.279399871826172,26.272029876708984,0.0073699951171875,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,15,Head,L15.H1,1,26.279399871826172,26.496532440185547,-0.217132568359375,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,15,Head,L15.H2,2,26.279399871826172,24.598777770996094,1.6806221008300781,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,15,Head,L15.H3,3,26.279399871826172,25.602432250976562,0.6769676208496094,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,15,Head,L15.H4,4,26.279399871826172,25.863033294677734,0.4163665771484375,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,15,Head,L15.H5,5,26.279399871826172,25.479564666748047,0.799835205078125,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,15,Head,L15.H6,6,26.279399871826172,28.560253143310547,-2.280853271484375,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,15,Head,L15.H7,7,26.279399871826172,24.291595458984375,1.9878044128417969,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,16,MLP,L16.MLP,-1,26.279399871826172,23.56503677368164,2.7143630981445312,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,16,Attn,L16.Attn,-1,26.279399871826172,26.153247833251953,0.12615203857421875,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,16,Head,L16.H0,0,26.279399871826172,26.143993377685547,0.135406494140625,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,16,Head,L16.H1,1,26.279399871826172,25.58669662475586,0.6927032470703125,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,16,Head,L16.H2,2,26.279399871826172,25.882984161376953,0.39641571044921875,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,16,Head,L16.H3,3,26.279399871826172,25.15719985961914,1.1222000122070312,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,16,Head,L16.H4,4,26.279399871826172,26.405372619628906,-0.12597274780273438,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,16,Head,L16.H5,5,26.279399871826172,26.607646942138672,-0.3282470703125,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,16,Head,L16.H6,6,26.279399871826172,26.651321411132812,-0.3719215393066406,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,16,Head,L16.H7,7,26.279399871826172,27.230560302734375,-0.9511604309082031,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,17,MLP,L17.MLP,-1,26.279399871826172,22.679443359375,3.599956512451172,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,17,Attn,L17.Attn,-1,26.279399871826172,26.410999298095703,-0.13159942626953125,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,17,Head,L17.H0,0,26.279399871826172,26.831619262695312,-0.5522193908691406,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,17,Head,L17.H1,1,26.279399871826172,26.422588348388672,-0.1431884765625,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,17,Head,L17.H2,2,26.279399871826172,26.57235336303711,-0.2929534912109375,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,17,Head,L17.H3,3,26.279399871826172,26.247337341308594,0.032062530517578125,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,17,Head,L17.H4,4,26.279399871826172,26.259143829345703,0.02025604248046875,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,17,Head,L17.H5,5,26.279399871826172,24.89167022705078,1.3877296447753906,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,17,Head,L17.H6,6,26.279399871826172,26.765899658203125,-0.4864997863769531,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,17,Head,L17.H7,7,26.279399871826172,25.285911560058594,0.9934883117675781,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,18,MLP,L18.MLP,-1,26.279399871826172,37.17662048339844,-10.897220611572266,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,18,Attn,L18.Attn,-1,26.279399871826172,21.746623992919922,4.53277587890625,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,18,Head,L18.H0,0,26.279399871826172,26.732494354248047,-0.453094482421875,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,18,Head,L18.H1,1,26.279399871826172,23.737472534179688,2.5419273376464844,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,18,Head,L18.H2,2,26.279399871826172,26.035816192626953,0.24358367919921875,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,18,Head,L18.H3,3,26.279399871826172,27.131168365478516,-0.8517684936523438,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,18,Head,L18.H4,4,26.279399871826172,27.499340057373047,-1.219940185546875,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,18,Head,L18.H5,5,26.279399871826172,26.59244155883789,-0.31304168701171875,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,18,Head,L18.H6,6,26.279399871826172,25.018714904785156,1.2606849670410156,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,18,Head,L18.H7,7,26.279399871826172,26.895851135253906,-0.6164512634277344,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,19,MLP,L19.MLP,-1,26.279399871826172,25.25157928466797,1.0278205871582031,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,19,Attn,L19.Attn,-1,26.279399871826172,27.234405517578125,-0.9550056457519531,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,19,Head,L19.H0,0,26.279399871826172,26.332157135009766,-0.05275726318359375,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,19,Head,L19.H1,1,26.279399871826172,26.358264923095703,-0.07886505126953125,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,19,Head,L19.H2,2,26.279399871826172,26.48624038696289,-0.20684051513671875,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,19,Head,L19.H3,3,26.279399871826172,26.603111267089844,-0.3237113952636719,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,19,Head,L19.H4,4,26.279399871826172,29.073490142822266,-2.7940902709960938,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,19,Head,L19.H5,5,26.279399871826172,21.29144287109375,4.987957000732422,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,19,Head,L19.H6,6,26.279399871826172,26.320911407470703,-0.04151153564453125,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,19,Head,L19.H7,7,26.279399871826172,26.157489776611328,0.12191009521484375,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,20,MLP,L20.MLP,-1,26.279399871826172,27.827571868896484,-1.5481719970703125,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,20,Attn,L20.Attn,-1,26.279399871826172,23.696380615234375,2.583019256591797,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,20,Head,L20.H0,0,26.279399871826172,26.317020416259766,-0.03762054443359375,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,20,Head,L20.H1,1,26.279399871826172,26.49224853515625,-0.21284866333007812,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,20,Head,L20.H2,2,26.279399871826172,25.92694091796875,0.3524589538574219,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,20,Head,L20.H3,3,26.279399871826172,26.604263305664062,-0.3248634338378906,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,20,Head,L20.H4,4,26.279399871826172,26.461563110351562,-0.18216323852539062,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,20,Head,L20.H5,5,26.279399871826172,25.30434799194336,0.9750518798828125,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,20,Head,L20.H6,6,26.279399871826172,26.005008697509766,0.27439117431640625,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,20,Head,L20.H7,7,26.279399871826172,26.863353729248047,-0.583953857421875,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,21,MLP,L21.MLP,-1,26.279399871826172,19.155017852783203,7.124382019042969,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,21,Attn,L21.Attn,-1,26.279399871826172,28.155086517333984,-1.8756866455078125,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,21,Head,L21.H0,0,26.279399871826172,27.378955841064453,-1.0995559692382812,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,21,Head,L21.H1,1,26.279399871826172,26.520191192626953,-0.24079132080078125,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,21,Head,L21.H2,2,26.279399871826172,27.20736312866211,-0.9279632568359375,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,21,Head,L21.H3,3,26.279399871826172,26.806346893310547,-0.526947021484375,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,21,Head,L21.H4,4,26.279399871826172,25.641422271728516,0.6379776000976562,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,21,Head,L21.H5,5,26.279399871826172,26.99048614501953,-0.7110862731933594,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,21,Head,L21.H6,6,26.279399871826172,22.796424865722656,3.4829750061035156,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,21,Head,L21.H7,7,26.279399871826172,27.602134704589844,-1.3227348327636719,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,22,MLP,L22.MLP,-1,26.279399871826172,25.273155212402344,1.0062446594238281,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,22,Attn,L22.Attn,-1,26.279399871826172,26.05321502685547,0.22618484497070312,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,22,Head,L22.H0,0,26.279399871826172,26.74831771850586,-0.4689178466796875,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,22,Head,L22.H1,1,26.279399871826172,25.118385314941406,1.1610145568847656,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,22,Head,L22.H2,2,26.279399871826172,26.378204345703125,-0.09880447387695312,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,22,Head,L22.H3,3,26.279399871826172,26.048473358154297,0.230926513671875,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,22,Head,L22.H4,4,26.279399871826172,26.636768341064453,-0.35736846923828125,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,22,Head,L22.H5,5,26.279399871826172,26.839031219482422,-0.55963134765625,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,22,Head,L22.H6,6,26.279399871826172,26.093509674072266,0.18589019775390625,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,22,Head,L22.H7,7,26.279399871826172,26.437305450439453,-0.15790557861328125,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,23,MLP,L23.MLP,-1,26.279399871826172,23.228416442871094,3.050983428955078,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,23,Attn,L23.Attn,-1,26.279399871826172,24.665973663330078,1.6134262084960938,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,23,Head,L23.H0,0,26.279399871826172,22.00918197631836,4.2702178955078125,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,23,Head,L23.H1,1,26.279399871826172,29.328948974609375,-3.049549102783203,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,23,Head,L23.H2,2,26.279399871826172,26.271106719970703,0.00829315185546875,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,23,Head,L23.H3,3,26.279399871826172,26.244491577148438,0.034908294677734375,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,23,Head,L23.H4,4,26.279399871826172,26.564434051513672,-0.2850341796875,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,23,Head,L23.H5,5,26.279399871826172,27.353008270263672,-1.0736083984375,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,23,Head,L23.H6,6,26.279399871826172,26.121417999267578,0.15798187255859375,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,23,Head,L23.H7,7,26.279399871826172,26.314861297607422,-0.03546142578125,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,24,MLP,L24.MLP,-1,26.279399871826172,25.15848159790039,1.1209182739257812,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,24,Attn,L24.Attn,-1,26.279399871826172,21.918193817138672,4.3612060546875,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,24,Head,L24.H0,0,26.279399871826172,26.982070922851562,-0.7026710510253906,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,24,Head,L24.H1,1,26.279399871826172,25.096248626708984,1.1831512451171875,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,24,Head,L24.H2,2,26.279399871826172,26.343902587890625,-0.06450271606445312,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,24,Head,L24.H3,3,26.279399871826172,26.17171859741211,0.1076812744140625,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,24,Head,L24.H4,4,26.279399871826172,27.471622467041016,-1.1922225952148438,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,24,Head,L24.H5,5,26.279399871826172,26.445785522460938,-0.16638565063476562,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,24,Head,L24.H6,6,26.279399871826172,24.415176391601562,1.8642234802246094,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,24,Head,L24.H7,7,26.279399871826172,26.135162353515625,0.14423751831054688,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,15,MLP,L15.MLP,-1,45.2337532043457,48.966121673583984,-3.7323684692382812,"My boyfriend is so much like your husband. I’m so happy for you to have him, he sounds wonderful."
